Author Position,Author ID,Author Name,ORCID,Is Corresponding,Raw Author Name,Affiliations
first,https://openalex.org/A5116011620,Kimi Team,,False,Kimi Team,
middle,https://openalex.org/A5088792207,Angang Du,,False,"Du, Angang",
middle,https://openalex.org/A5044355459,Chenzhuang Du,,False,"Du, Chenzhuang",
middle,https://openalex.org/A5046162247,Dehao Zhang,,False,"Zhang, Dehao",
middle,https://openalex.org/A5073001520,Enming Yuan,https://orcid.org/0000-0003-0755-9109,False,"Yuan, Enming",
middle,https://openalex.org/A5049660040,Enzhe Lu,,False,"Lu, Enzhe",
middle,https://openalex.org/A5065232789,Flood Sung,,False,"Sung, Flood",
middle,https://openalex.org/A5015579277,Guokun Lai,,False,"Lai, Guokun",
middle,https://openalex.org/A5005056208,Hao Ding,https://orcid.org/0000-0001-8281-6983,False,"Ding, Hao",
middle,https://openalex.org/A5084214981,Hao Hu,https://orcid.org/0000-0002-1103-0243,False,"Hu, Hao",
middle,https://openalex.org/A5100732538,Hao Zhang,https://orcid.org/0000-0002-7600-3967,False,"Zhang, Hao",
middle,https://openalex.org/A5071838616,Haotian Yao,https://orcid.org/0000-0003-4674-1552,False,"Yao, Haotian",
middle,https://openalex.org/A5110370692,Hongcheng Gao,,False,"Gao, Hongcheng",
middle,https://openalex.org/A5111649512,Huabin Zheng,,False,"Zheng, Huabin",
middle,https://openalex.org/A5078222384,Jianlin Su,https://orcid.org/0000-0002-1000-8458,False,"Su, Jianlin",
middle,https://openalex.org/A5044720245,Jianzhou Wang,https://orcid.org/0000-0001-9078-7617,False,"Wang, Jianzhou",
middle,https://openalex.org/A5102863611,Junming Liu,https://orcid.org/0000-0002-9301-0894,False,"Liu, Jingyuan",
middle,https://openalex.org/A5028565054,Junjie Yan,https://orcid.org/0009-0006-2259-7487,False,"Yan, Junjie",
middle,https://openalex.org/A5049419584,Longhui Yu,,False,"Yu, Longhui",
middle,https://openalex.org/A5078616374,Mengjiao Dong,https://orcid.org/0009-0005-6725-2477,False,"Dong, Mengnan",
middle,https://openalex.org/A5102884727,Shaowei Liu,https://orcid.org/0009-0004-6105-7999,False,"Liu, Shaowei",
middle,https://openalex.org/A5014305191,W. He,https://orcid.org/0000-0002-3854-4965,False,"He, Weiran",
middle,https://openalex.org/A5013900180,Weixiao Huang,,False,"Huang, Weixiao",
middle,https://openalex.org/A5086375722,Xingzhe Wu,,False,"Wu, Xingzhe",
middle,https://openalex.org/A5028097242,Xinxing Zu,,False,"Zu, Xinxing",
middle,https://openalex.org/A5063131799,X. H. Zhou,https://orcid.org/0009-0002-7087-2421,False,"Zhou, Xinyu",
middle,https://openalex.org/A5101075955,Yangyang Hu,,False,"Hu, Yangyang",
middle,https://openalex.org/A5100695889,Yanru Chen,https://orcid.org/0000-0002-0162-5067,False,"Chen, Yanru",
middle,https://openalex.org/A5075248805,Y. Q. Wang,,False,"Wang, Yejie",
middle,https://openalex.org/A5113647044,Y. Liu,https://orcid.org/0009-0008-7532-0021,False,"Liu, Yibo",
middle,https://openalex.org/A5043216848,Yiping Bao,,False,"Bao, Yiping",
middle,https://openalex.org/A5012998749,Yulun Du,,False,"Du, Yulun",
middle,https://openalex.org/A5014209482,Yuxin Wu,https://orcid.org/0000-0002-6953-0179,False,"Wu, Yuxin",
middle,https://openalex.org/A5100669047,Yuzhi Wang,https://orcid.org/0000-0002-9803-326X,False,"Wang, Yuzhi",
middle,https://openalex.org/A5113154912,Zaida Zhou,,False,"Zhou, Zaida",
middle,https://openalex.org/A5108055321,Zhaowei Li,https://orcid.org/0000-0001-8890-1505,False,"Li, Zhaowei",
middle,https://openalex.org/A5115596378,Zheng Zhang,https://orcid.org/0000-0002-9864-583X,False,"Zhang, Zheng",
middle,https://openalex.org/A5050303775,Zhilin Yang,https://orcid.org/0000-0003-0944-4903,False,"Yang, Zhilin",
middle,https://openalex.org/A5103191012,Zhiqi Huang,https://orcid.org/0000-0002-8317-0966,False,"Huang, Zhiqi",
middle,https://openalex.org/A5090297023,Zhiyi Huang,https://orcid.org/0000-0001-8561-2556,False,"Huang, Zihao",
